dilution,batch,time_minutes,grade_numeric,grade_label,smear_type,filepath,filename
10%,3,14,3,III,thin,data\processed\10%_batch3_14min_3_thin.jpg,10%_batch3_14min_3_thin.jpg
10%,3,15,4,IV,thick,data\processed\10%_batch3_15min_4_thick.jpg,10%_batch3_15min_4_thick.jpg
10%,3,15,3,III,thin,data\processed\10%_batch3_15min_3_thin.jpg,10%_batch3_15min_3_thin.jpg
10%,3,16,4,IV,thick,data\processed\10%_batch3_16min_4_thick.jpg,10%_batch3_16min_4_thick.jpg
10%,3,16,4,IV,thin,data\processed\10%_batch3_16min_4_thin.jpg,10%_batch3_16min_4_thin.jpg
10%,3,17,4,IV,thick,data\processed\10%_batch3_17min_4_thick.jpg,10%_batch3_17min_4_thick.jpg
10%,3,17,3,III,thin,data\processed\10%_batch3_17min_3_thin.jpg,10%_batch3_17min_3_thin.jpg
10%,3,18,4,IV,thick,data\processed\10%_batch3_18min_4_thick.jpg,10%_batch3_18min_4_thick.jpg
10%,3,18,4,IV,thin,data\processed\10%_batch3_18min_4_thin.jpg,10%_batch3_18min_4_thin.jpg
10%,3,19,5,V,thick,data\processed\10%_batch3_19min_5_thick.jpg,10%_batch3_19min_5_thick.jpg
10%,3,19,5,V,thin,data\processed\10%_batch3_19min_5_thin.jpg,10%_batch3_19min_5_thin.jpg
10%,3,20,5,V,thick,data\processed\10%_batch3_20min_5_thick.jpg,10%_batch3_20min_5_thick.jpg
10%,3,20,5,V,thin,data\processed\10%_batch3_20min_5_thin.jpg,10%_batch3_20min_5_thin.jpg
10%,4,5,2,II,thick,data\processed\10%_batch4_5min_2_thick.jpg,10%_batch4_5min_2_thick.jpg
10%,4,5,2,II,thin,data\processed\10%_batch4_5min_2_thin.jpg,10%_batch4_5min_2_thin.jpg
10%,4,6,2,II,thick,data\processed\10%_batch4_6min_2_thick.jpg,10%_batch4_6min_2_thick.jpg
10%,4,6,2,II,thin,data\processed\10%_batch4_6min_2_thin.jpg,10%_batch4_6min_2_thin.jpg
10%,4,7,2,II,thick,data\processed\10%_batch4_7min_2_thick.jpg,10%_batch4_7min_2_thick.jpg
10%,4,7,2,II,thin,data\processed\10%_batch4_7min_2_thin.jpg,10%_batch4_7min_2_thin.jpg
10%,4,8,2,II,thick,data\processed\10%_batch4_8min_2_thick.jpg,10%_batch4_8min_2_thick.jpg
10%,4,8,2,II,thin,data\processed\10%_batch4_8min_2_thin.jpg,10%_batch4_8min_2_thin.jpg
10%,4,9,2,II,thick,data\processed\10%_batch4_9min_2_thick.jpg,10%_batch4_9min_2_thick.jpg
10%,4,9,2,II,thin,data\processed\10%_batch4_9min_2_thin.jpg,10%_batch4_9min_2_thin.jpg
10%,4,10,3,III,thick,data\processed\10%_batch4_10min_3_thick.jpg,10%_batch4_10min_3_thick.jpg
10%,4,10,4,IV,thin,data\processed\10%_batch4_10min_4_thin.jpg,10%_batch4_10min_4_thin.jpg
10%,4,11,3,III,thick,data\processed\10%_batch4_11min_3_thick.jpg,10%_batch4_11min_3_thick.jpg
10%,4,11,4,IV,thin,data\processed\10%_batch4_11min_4_thin.jpg,10%_batch4_11min_4_thin.jpg
10%,4,12,5,V,thick,data\processed\10%_batch4_12min_5_thick.jpg,10%_batch4_12min_5_thick.jpg
10%,4,12,4,IV,thin,data\processed\10%_batch4_12min_4_thin.jpg,10%_batch4_12min_4_thin.jpg
10%,4,13,4,IV,thick,data\processed\10%_batch4_13min_4_thick.jpg,10%_batch4_13min_4_thick.jpg
10%,4,13,4,IV,thin,data\processed\10%_batch4_13min_4_thin.jpg,10%_batch4_13min_4_thin.jpg
10%,4,14,4,IV,thick,data\processed\10%_batch4_14min_4_thick.jpg,10%_batch4_14min_4_thick.jpg
10%,4,14,4,IV,thin,data\processed\10%_batch4_14min_4_thin.jpg,10%_batch4_14min_4_thin.jpg
10%,4,15,4,IV,thin,data\processed\10%_batch4_15min_4_thin.jpg,10%_batch4_15min_4_thin.jpg
10%,4,16,4,IV,thick,data\processed\10%_batch4_16min_4_thick.jpg,10%_batch4_16min_4_thick.jpg
10%,4,16,5,V,thin,data\processed\10%_batch4_16min_5_thin.jpg,10%_batch4_16min_5_thin.jpg
10%,4,17,4,IV,thick,data\processed\10%_batch4_17min_4_thick.jpg,10%_batch4_17min_4_thick.jpg
10%,4,17,4,IV,thin,data\processed\10%_batch4_17min_4_thin.jpg,10%_batch4_17min_4_thin.jpg
10%,4,18,4,IV,thick,data\processed\10%_batch4_18min_4_thick.jpg,10%_batch4_18min_4_thick.jpg
10%,4,18,5,V,thin,data\processed\10%_batch4_18min_5_thin.jpg,10%_batch4_18min_5_thin.jpg
10%,4,19,5,V,thick,data\processed\10%_batch4_19min_5_thick.jpg,10%_batch4_19min_5_thick.jpg
10%,4,19,4,IV,thin,data\processed\10%_batch4_19min_4_thin.jpg,10%_batch4_19min_4_thin.jpg
10%,4,20,5,V,thick,data\processed\10%_batch4_20min_5_thick.jpg,10%_batch4_20min_5_thick.jpg
10%,4,20,5,V,thin,data\processed\10%_batch4_20min_5_thin.jpg,10%_batch4_20min_5_thin.jpg
10%,5,5,2,II,thick,data\processed\10%_batch5_5min_2_thick.jpg,10%_batch5_5min_2_thick.jpg
10%,5,5,2,II,thin,data\processed\10%_batch5_5min_2_thin.jpg,10%_batch5_5min_2_thin.jpg
10%,5,6,2,II,thick,data\processed\10%_batch5_6min_2_thick.jpg,10%_batch5_6min_2_thick.jpg
10%,5,6,2,II,thin,data\processed\10%_batch5_6min_2_thin.jpg,10%_batch5_6min_2_thin.jpg
10%,5,7,2,II,thick,data\processed\10%_batch5_7min_2_thick.jpg,10%_batch5_7min_2_thick.jpg
10%,5,7,2,II,thin,data\processed\10%_batch5_7min_2_thin.jpg,10%_batch5_7min_2_thin.jpg
10%,5,8,2,II,thick,data\processed\10%_batch5_8min_2_thick.jpg,10%_batch5_8min_2_thick.jpg
10%,5,8,2,II,thin,data\processed\10%_batch5_8min_2_thin.jpg,10%_batch5_8min_2_thin.jpg
10%,5,9,2,II,thick,data\processed\10%_batch5_9min_2_thick.jpg,10%_batch5_9min_2_thick.jpg
10%,5,9,2,II,thin,data\processed\10%_batch5_9min_2_thin.jpg,10%_batch5_9min_2_thin.jpg
10%,5,10,3,III,thin,data\processed\10%_batch5_10min_3_thin.jpg,10%_batch5_10min_3_thin.jpg
10%,5,11,3,III,thick,data\processed\10%_batch5_11min_3_thick.jpg,10%_batch5_11min_3_thick.jpg
10%,5,11,3,III,thin,data\processed\10%_batch5_11min_3_thin.jpg,10%_batch5_11min_3_thin.jpg
10%,5,12,4,IV,thick,data\processed\10%_batch5_12min_4_thick.jpg,10%_batch5_12min_4_thick.jpg
10%,5,12,4,IV,thin,data\processed\10%_batch5_12min_4_thin.jpg,10%_batch5_12min_4_thin.jpg
10%,5,13,4,IV,thick,data\processed\10%_batch5_13min_4_thick.jpg,10%_batch5_13min_4_thick.jpg
10%,5,13,4,IV,thin,data\processed\10%_batch5_13min_4_thin.jpg,10%_batch5_13min_4_thin.jpg
10%,5,14,4,IV,thick,data\processed\10%_batch5_14min_4_thick.jpg,10%_batch5_14min_4_thick.jpg
10%,5,14,4,IV,thin,data\processed\10%_batch5_14min_4_thin.jpg,10%_batch5_14min_4_thin.jpg
10%,5,15,4,IV,thick,data\processed\10%_batch5_15min_4_thick.jpg,10%_batch5_15min_4_thick.jpg
10%,5,15,4,IV,thin,data\processed\10%_batch5_15min_4_thin.jpg,10%_batch5_15min_4_thin.jpg
10%,5,16,4,IV,thick,data\processed\10%_batch5_16min_4_thick.jpg,10%_batch5_16min_4_thick.jpg
10%,5,16,4,IV,thin,data\processed\10%_batch5_16min_4_thin.jpg,10%_batch5_16min_4_thin.jpg
10%,5,17,4,IV,thick,data\processed\10%_batch5_17min_4_thick.jpg,10%_batch5_17min_4_thick.jpg
10%,5,17,4,IV,thin,data\processed\10%_batch5_17min_4_thin.jpg,10%_batch5_17min_4_thin.jpg
10%,5,18,5,V,thick,data\processed\10%_batch5_18min_5_thick.jpg,10%_batch5_18min_5_thick.jpg
10%,5,18,5,V,thin,data\processed\10%_batch5_18min_5_thin.jpg,10%_batch5_18min_5_thin.jpg
10%,5,19,5,V,thick,data\processed\10%_batch5_19min_5_thick.jpg,10%_batch5_19min_5_thick.jpg
10%,5,19,5,V,thin,data\processed\10%_batch5_19min_5_thin.jpg,10%_batch5_19min_5_thin.jpg
10%,5,20,5,V,thick,data\processed\10%_batch5_20min_5_thick.jpg,10%_batch5_20min_5_thick.jpg
10%,5,20,5,V,thin,data\processed\10%_batch5_20min_5_thin.jpg,10%_batch5_20min_5_thin.jpg
10%,6,5,2,II,thick,data\processed\10%_batch6_5min_2_thick.jpg,10%_batch6_5min_2_thick.jpg
10%,6,5,2,II,thin,data\processed\10%_batch6_5min_2_thin.jpg,10%_batch6_5min_2_thin.jpg
10%,6,6,2,II,thick,data\processed\10%_batch6_6min_2_thick.jpg,10%_batch6_6min_2_thick.jpg
10%,6,6,2,II,thin,data\processed\10%_batch6_6min_2_thin.jpg,10%_batch6_6min_2_thin.jpg
10%,6,7,2,II,thick,data\processed\10%_batch6_7min_2_thick.jpg,10%_batch6_7min_2_thick.jpg
10%,6,7,2,II,thin,data\processed\10%_batch6_7min_2_thin.jpg,10%_batch6_7min_2_thin.jpg
10%,6,8,2,II,thick,data\processed\10%_batch6_8min_2_thick.jpg,10%_batch6_8min_2_thick.jpg
10%,6,8,2,II,thin,data\processed\10%_batch6_8min_2_thin.jpg,10%_batch6_8min_2_thin.jpg
10%,6,9,2,II,thick,data\processed\10%_batch6_9min_2_thick.jpg,10%_batch6_9min_2_thick.jpg
10%,6,9,2,II,thin,data\processed\10%_batch6_9min_2_thin.jpg,10%_batch6_9min_2_thin.jpg
10%,6,10,3,III,thick,data\processed\10%_batch6_10min_3_thick.jpg,10%_batch6_10min_3_thick.jpg
10%,6,10,3,III,thin,data\processed\10%_batch6_10min_3_thin.jpg,10%_batch6_10min_3_thin.jpg
10%,6,11,3,III,thick,data\processed\10%_batch6_11min_3_thick.jpg,10%_batch6_11min_3_thick.jpg
10%,6,11,3,III,thin,data\processed\10%_batch6_11min_3_thin.jpg,10%_batch6_11min_3_thin.jpg
10%,6,12,4,IV,thick,data\processed\10%_batch6_12min_4_thick.jpg,10%_batch6_12min_4_thick.jpg
10%,6,12,4,IV,thin,data\processed\10%_batch6_12min_4_thin.jpg,10%_batch6_12min_4_thin.jpg
10%,6,13,4,IV,thick,data\processed\10%_batch6_13min_4_thick.jpg,10%_batch6_13min_4_thick.jpg
10%,6,13,4,IV,thin,data\processed\10%_batch6_13min_4_thin.jpg,10%_batch6_13min_4_thin.jpg
10%,6,14,4,IV,thick,data\processed\10%_batch6_14min_4_thick.jpg,10%_batch6_14min_4_thick.jpg
10%,6,14,4,IV,thin,data\processed\10%_batch6_14min_4_thin.jpg,10%_batch6_14min_4_thin.jpg
10%,6,15,4,IV,thick,data\processed\10%_batch6_15min_4_thick.jpg,10%_batch6_15min_4_thick.jpg
10%,6,15,4,IV,thin,data\processed\10%_batch6_15min_4_thin.jpg,10%_batch6_15min_4_thin.jpg
10%,6,16,4,IV,thick,data\processed\10%_batch6_16min_4_thick.jpg,10%_batch6_16min_4_thick.jpg
10%,6,16,4,IV,thin,data\processed\10%_batch6_16min_4_thin.jpg,10%_batch6_16min_4_thin.jpg
10%,6,17,4,IV,thick,data\processed\10%_batch6_17min_4_thick.jpg,10%_batch6_17min_4_thick.jpg
10%,6,17,4,IV,thin,data\processed\10%_batch6_17min_4_thin.jpg,10%_batch6_17min_4_thin.jpg
10%,6,18,5,V,thick,data\processed\10%_batch6_18min_5_thick.jpg,10%_batch6_18min_5_thick.jpg
10%,6,18,4,IV,thin,data\processed\10%_batch6_18min_4_thin.jpg,10%_batch6_18min_4_thin.jpg
10%,6,19,5,V,thick,data\processed\10%_batch6_19min_5_thick.jpg,10%_batch6_19min_5_thick.jpg
10%,6,19,4,IV,thin,data\processed\10%_batch6_19min_4_thin.jpg,10%_batch6_19min_4_thin.jpg
10%,6,20,5,V,thick,data\processed\10%_batch6_20min_5_thick.jpg,10%_batch6_20min_5_thick.jpg
10%,6,20,5,V,thin,data\processed\10%_batch6_20min_5_thin.jpg,10%_batch6_20min_5_thin.jpg
10%,7,5,2,II,thick,data\processed\10%_batch7_5min_2_thick.jpg,10%_batch7_5min_2_thick.jpg
10%,7,5,2,II,thin,data\processed\10%_batch7_5min_2_thin.jpg,10%_batch7_5min_2_thin.jpg
10%,7,6,2,II,thick,data\processed\10%_batch7_6min_2_thick.jpg,10%_batch7_6min_2_thick.jpg
10%,7,6,2,II,thin,data\processed\10%_batch7_6min_2_thin.jpg,10%_batch7_6min_2_thin.jpg
10%,7,7,2,II,thick,data\processed\10%_batch7_7min_2_thick.jpg,10%_batch7_7min_2_thick.jpg
10%,7,7,2,II,thin,data\processed\10%_batch7_7min_2_thin.jpg,10%_batch7_7min_2_thin.jpg
10%,7,8,2,II,thick,data\processed\10%_batch7_8min_2_thick.jpg,10%_batch7_8min_2_thick.jpg
10%,7,8,2,II,thin,data\processed\10%_batch7_8min_2_thin.jpg,10%_batch7_8min_2_thin.jpg
10%,7,9,2,II,thick,data\processed\10%_batch7_9min_2_thick.jpg,10%_batch7_9min_2_thick.jpg
10%,7,9,2,II,thin,data\processed\10%_batch7_9min_2_thin.jpg,10%_batch7_9min_2_thin.jpg
10%,7,10,3,III,thick,data\processed\10%_batch7_10min_3_thick.jpg,10%_batch7_10min_3_thick.jpg
10%,7,10,3,III,thin,data\processed\10%_batch7_10min_3_thin.jpg,10%_batch7_10min_3_thin.jpg
10%,7,11,3,III,thick,data\processed\10%_batch7_11min_3_thick.jpg,10%_batch7_11min_3_thick.jpg
10%,7,11,3,III,thin,data\processed\10%_batch7_11min_3_thin.jpg,10%_batch7_11min_3_thin.jpg
10%,7,12,4,IV,thick,data\processed\10%_batch7_12min_4_thick.jpg,10%_batch7_12min_4_thick.jpg
10%,7,12,4,IV,thin,data\processed\10%_batch7_12min_4_thin.jpg,10%_batch7_12min_4_thin.jpg
10%,7,13,4,IV,thick,data\processed\10%_batch7_13min_4_thick.jpg,10%_batch7_13min_4_thick.jpg
10%,7,13,4,IV,thin,data\processed\10%_batch7_13min_4_thin.jpg,10%_batch7_13min_4_thin.jpg
10%,7,14,4,IV,thick,data\processed\10%_batch7_14min_4_thick.jpg,10%_batch7_14min_4_thick.jpg
10%,7,14,4,IV,thin,data\processed\10%_batch7_14min_4_thin.jpg,10%_batch7_14min_4_thin.jpg
10%,7,15,4,IV,thick,data\processed\10%_batch7_15min_4_thick.jpg,10%_batch7_15min_4_thick.jpg
10%,7,15,4,IV,thin,data\processed\10%_batch7_15min_4_thin.jpg,10%_batch7_15min_4_thin.jpg
10%,7,16,4,IV,thick,data\processed\10%_batch7_16min_4_thick.jpg,10%_batch7_16min_4_thick.jpg
10%,7,16,4,IV,thin,data\processed\10%_batch7_16min_4_thin.jpg,10%_batch7_16min_4_thin.jpg
10%,7,17,5,V,thick,data\processed\10%_batch7_17min_5_thick.jpg,10%_batch7_17min_5_thick.jpg
10%,7,17,5,V,thin,data\processed\10%_batch7_17min_5_thin.jpg,10%_batch7_17min_5_thin.jpg
10%,7,18,5,V,thick,data\processed\10%_batch7_18min_5_thick.jpg,10%_batch7_18min_5_thick.jpg
10%,7,18,5,V,thin,data\processed\10%_batch7_18min_5_thin.jpg,10%_batch7_18min_5_thin.jpg
10%,7,19,5,V,thick,data\processed\10%_batch7_19min_5_thick.jpg,10%_batch7_19min_5_thick.jpg
10%,7,19,5,V,thin,data\processed\10%_batch7_19min_5_thin.jpg,10%_batch7_19min_5_thin.jpg
10%,7,20,5,V,thick,data\processed\10%_batch7_20min_5_thick.jpg,10%_batch7_20min_5_thick.jpg
10%,7,20,5,V,thin,data\processed\10%_batch7_20min_5_thin.jpg,10%_batch7_20min_5_thin.jpg
3%,1,30,3,III,thick,data\processed\3%_batch1_30min_3_thick.jpg,3%_batch1_30min_3_thick.jpg
3%,1,30,3,III,thin,data\processed\3%_batch1_30min_3_thin.jpg,3%_batch1_30min_3_thin.jpg
3%,1,31,4,IV,thick,data\processed\3%_batch1_31min_4_thick.jpg,3%_batch1_31min_4_thick.jpg
3%,1,31,4,IV,thin,data\processed\3%_batch1_31min_4_thin.jpg,3%_batch1_31min_4_thin.jpg
3%,1,32,4,IV,thick,data\processed\3%_batch1_32min_4_thick.jpg,3%_batch1_32min_4_thick.jpg
3%,1,32,4,IV,thin,data\processed\3%_batch1_32min_4_thin.jpg,3%_batch1_32min_4_thin.jpg
3%,1,33,4,IV,thick,data\processed\3%_batch1_33min_4_thick.jpg,3%_batch1_33min_4_thick.jpg
3%,1,33,4,IV,thin,data\processed\3%_batch1_33min_4_thin.jpg,3%_batch1_33min_4_thin.jpg
3%,1,34,4,IV,thick,data\processed\3%_batch1_34min_4_thick.jpg,3%_batch1_34min_4_thick.jpg
3%,1,34,4,IV,thin,data\processed\3%_batch1_34min_4_thin.jpg,3%_batch1_34min_4_thin.jpg
3%,1,35,4,IV,thick,data\processed\3%_batch1_35min_4_thick.jpg,3%_batch1_35min_4_thick.jpg
3%,1,35,4,IV,thin,data\processed\3%_batch1_35min_4_thin.jpg,3%_batch1_35min_4_thin.jpg
3%,1,36,4,IV,thick,data\processed\3%_batch1_36min_4_thick.jpg,3%_batch1_36min_4_thick.jpg
3%,1,36,4,IV,thin,data\processed\3%_batch1_36min_4_thin.jpg,3%_batch1_36min_4_thin.jpg
3%,1,37,4,IV,thick,data\processed\3%_batch1_37min_4_thick.jpg,3%_batch1_37min_4_thick.jpg
3%,1,37,4,IV,thin,data\processed\3%_batch1_37min_4_thin.jpg,3%_batch1_37min_4_thin.jpg
3%,1,38,4,IV,thick,data\processed\3%_batch1_38min_4_thick.jpg,3%_batch1_38min_4_thick.jpg
3%,1,38,4,IV,thin,data\processed\3%_batch1_38min_4_thin.jpg,3%_batch1_38min_4_thin.jpg
3%,1,39,4,IV,thick,data\processed\3%_batch1_39min_4_thick.jpg,3%_batch1_39min_4_thick.jpg
3%,1,39,4,IV,thin,data\processed\3%_batch1_39min_4_thin.jpg,3%_batch1_39min_4_thin.jpg
3%,1,40,5,V,thick,data\processed\3%_batch1_40min_5_thick.jpg,3%_batch1_40min_5_thick.jpg
3%,1,40,3,III,thin,data\processed\3%_batch1_40min_3_thin.jpg,3%_batch1_40min_3_thin.jpg
