date,District,rainfall,temperature,humidity
2023-01-01,Katugastota,135.8,25.5,67.9
2023-02-01,Katugastota,118.9,28.8,72.0
2023-03-01,Katugastota,171.2,26.4,74.4
2023-04-01,Katugastota,203.2,28.9,77.4
2023-05-01,Katugastota,251.6,27.3,80.3
2023-06-01,Katugastota,195.0,27.4,81.5
2023-07-01,Katugastota,151.2,25.8,72.5
2023-08-01,Katugastota,132.7,26.5,71.5
2023-09-01,Katugastota,165.8,27.1,74.9
2023-10-01,Katugastota,240.7,29.8,85.6
2023-11-01,Katugastota,262.1,25.1,75.8
2023-12-01,Katugastota,206.2,29.1,81.6
2023-01-01,Katunayake,159.7,30.0,79.8
2023-02-01,Katunayake,131.8,31.9,79.8
2023-03-01,Katunayake,189.0,29.2,82.1
2023-04-01,Katunayake,209.1,29.8,79.7
2023-05-01,Katunayake,271.8,29.5,86.8
2023-06-01,Katunayake,172.1,24.2,72.0
2023-07-01,Katunayake,167.0,28.5,80.1
2023-08-01,Katunayake,138.7,27.7,74.8
2023-09-01,Katunayake,186.4,30.4,84.2
2023-10-01,Katunayake,237.1,29.4,84.3
2023-11-01,Katunayake,263.7,25.3,76.3
2023-12-01,Katunayake,212.6,30.0,84.2
2023-01-01,Kurunegala,149.1,28.0,74.5
2023-02-01,Kurunegala,127.1,30.8,76.9
2023-03-01,Kurunegala,191.8,29.6,83.3
2023-04-01,Kurunegala,216.7,30.8,82.6
2023-05-01,Kurunegala,232.8,25.2,74.4
2023-06-01,Kurunegala,202.4,28.5,84.6
2023-07-01,Kurunegala,170.9,29.2,82.0
2023-08-01,Kurunegala,149.5,29.9,80.6
2023-09-01,Kurunegala,157.3,25.7,71.0
2023-10-01,Kurunegala,236.1,29.2,84.0
2023-11-01,Kurunegala,305.5,29.3,88.4
2023-12-01,Kurunegala,194.2,27.4,76.9
2023-01-01,Mahaillukpallama,137.6,25.9,68.7
2023-02-01,Mahaillukpallama,130.7,31.6,79.1
2023-03-01,Mahaillukpallama,183.9,28.4,79.9
2023-04-01,Mahaillukpallama,180.6,25.7,68.8
2023-05-01,Mahaillukpallama,255.1,27.7,81.5
2023-06-01,Mahaillukpallama,197.5,27.8,82.6
2023-07-01,Mahaillukpallama,168.4,28.8,80.8
2023-08-01,Mahaillukpallama,126.9,25.4,68.4
2023-09-01,Mahaillukpallama,175.7,28.7,79.3
2023-10-01,Mahaillukpallama,218.6,27.1,77.7
2023-11-01,Mahaillukpallama,279.4,26.8,80.8
2023-12-01,Mahaillukpallama,179.4,25.3,71.0
2023-01-01,Mannar,146.5,29.5,73.2
2023-02-01,Mannar,120.3,31.1,72.8
2023-03-01,Mannar,179.3,29.7,77.9
2023-04-01,Mannar,210.3,31.9,80.2
2023-05-01,Mannar,252.1,29.3,80.5
2023-06-01,Mannar,191.4,28.9,80.0
2023-07-01,Mannar,171.2,31.3,82.1
2023-08-01,Mannar,145.2,31.0,78.3
2023-09-01,Mannar,159.2,28.0,71.9
2023-10-01,Mannar,209.8,28.0,74.6
2023-11-01,Mannar,274.0,28.3,79.3
2023-12-01,Mannar,184.9,28.1,73.2
2023-01-01,Mattala,135.9,25.6,67.9
2023-02-01,Mattala,128.0,31.0,77.5
2023-03-01,Mattala,192.0,29.6,83.4
2023-04-01,Mattala,187.0,26.6,71.3
2023-05-01,Mattala,241.1,26.1,77.0
2023-06-01,Mattala,207.2,29.2,86.6
2023-07-01,Mattala,164.8,28.2,79.1
2023-08-01,Mattala,136.6,27.3,73.7
2023-09-01,Mattala,184.8,30.2,83.5
2023-10-01,Mattala,206.1,25.5,73.3
2023-11-01,Mattala,282.1,27.0,81.6
2023-12-01,Mattala,210.9,29.7,83.5
2023-01-01,Monaragala,155.2,29.2,77.5
2023-02-01,Monaragala,117.6,28.4,71.1
2023-03-01,Monaragala,185.3,28.6,80.5
2023-04-01,Monaragala,184.7,26.3,70.4
2023-05-01,Monaragala,266.3,28.9,85.0
2023-06-01,Monaragala,189.6,26.7,79.2
2023-07-01,Monaragala,165.0,28.2,79.2
2023-08-01,Monaragala,147.6,29.5,79.6
2023-09-01,Monaragala,187.1,30.5,84.5
2023-10-01,Monaragala,229.2,28.4,81.5
2023-11-01,Monaragala,255.6,24.5,73.9
2023-12-01,Monaragala,192.3,27.1,76.1
2023-01-01,Nuwara Eliya,139.2,21.2,69.6
2023-02-01,Nuwara Eliya,116.9,23.3,70.7
2023-03-01,Nuwara Eliya,177.3,22.4,77.0
2023-04-01,Nuwara Eliya,210.9,25.0,80.4
2023-05-01,Nuwara Eliya,246.2,21.7,78.6
2023-06-01,Nuwara Eliya,194.9,22.4,81.5
2023-07-01,Nuwara Eliya,161.1,22.5,77.3
2023-08-01,Nuwara Eliya,142.2,23.4,76.6
2023-09-01,Nuwara Eliya,166.0,22.1,75.0
2023-10-01,Nuwara Eliya,202.2,20.0,71.9
2023-11-01,Nuwara Eliya,264.8,20.4,76.6
2023-12-01,Nuwara Eliya,202.0,23.5,80.0
2023-01-01,Polonnaruwa,153.3,28.8,76.6
2023-02-01,Polonnaruwa,127.6,30.9,77.2
2023-03-01,Polonnaruwa,167.7,25.9,72.9
2023-04-01,Polonnaruwa,180.7,25.7,68.9
2023-05-01,Polonnaruwa,235.3,25.5,75.1
2023-06-01,Polonnaruwa,175.2,24.7,73.2
2023-07-01,Polonnaruwa,170.6,29.2,81.9
2023-08-01,Polonnaruwa,133.7,26.7,72.1
2023-09-01,Polonnaruwa,173.5,28.3,78.3
2023-10-01,Polonnaruwa,217.9,27.0,77.5
2023-11-01,Polonnaruwa,275.7,26.4,79.8
2023-12-01,Polonnaruwa,188.6,26.6,74.7
2023-01-01,Potuvil,162.0,30.5,80.9
2023-02-01,Potuvil,120.6,29.2,73.0
2023-03-01,Potuvil,187.5,28.9,81.4
2023-04-01,Potuvil,200.9,28.6,76.6
2023-05-01,Potuvil,241.6,26.2,77.2
2023-06-01,Potuvil,174.5,24.6,72.9
2023-07-01,Potuvil,176.7,30.2,84.8
2023-08-01,Potuvil,148.8,29.7,80.2
2023-09-01,Potuvil,182.5,29.8,82.4
2023-10-01,Potuvil,214.0,26.5,76.1
2023-11-01,Potuvil,295.4,28.3,85.5
2023-12-01,Potuvil,179.3,25.3,71.0
2023-01-01,Puttalam,145.8,27.4,72.8
2023-02-01,Puttalam,114.3,27.7,69.2
2023-03-01,Puttalam,189.0,29.2,82.1
2023-04-01,Puttalam,194.1,27.6,74.0
2023-05-01,Puttalam,271.9,29.5,86.8
2023-06-01,Puttalam,206.4,29.0,86.3
2023-07-01,Puttalam,165.2,28.2,79.3
2023-08-01,Puttalam,135.9,27.2,73.2
2023-09-01,Puttalam,162.8,26.6,73.5
2023-10-01,Puttalam,239.0,29.6,85.0
2023-11-01,Puttalam,290.4,27.8,84.0
2023-12-01,Puttalam,206.4,29.1,81.7
2023-01-01,Ratmalana,161.0,30.3,80.5
2023-02-01,Ratmalana,126.5,30.6,76.6
2023-03-01,Ratmalana,197.6,30.5,85.8
2023-04-01,Ratmalana,182.2,25.9,69.4
2023-05-01,Ratmalana,226.3,24.5,72.3
2023-06-01,Ratmalana,209.1,29.4,87.4
2023-07-01,Ratmalana,153.7,26.3,73.7
2023-08-01,Ratmalana,144.7,28.9,78.0
2023-09-01,Ratmalana,181.2,29.6,81.8
2023-10-01,Ratmalana,209.1,25.9,74.3
2023-11-01,Ratmalana,307.8,29.5,89.0
2023-12-01,Ratmalana,205.3,28.9,81.2
2023-01-01,Ratnapura,159.6,30.0,79.7
2023-02-01,Ratnapura,128.2,31.0,77.6
2023-03-01,Ratnapura,168.7,26.0,73.3
2023-04-01,Ratnapura,181.3,25.8,69.1
2023-05-01,Ratnapura,234.7,25.4,74.9
2023-06-01,Ratnapura,181.0,25.5,75.7
2023-07-01,Ratnapura,164.1,28.0,78.7
2023-08-01,Ratnapura,127.1,25.4,68.5
2023-09-01,Ratnapura,168.9,27.6,76.3
2023-10-01,Ratnapura,201.3,24.9,71.6
2023-11-01,Ratnapura,267.1,25.6,77.3
2023-12-01,Ratnapura,176.6,24.9,69.9
2023-01-01,Trincomalee,141.4,28.6,70.7
2023-02-01,Trincomalee,120.8,31.2,73.1
2023-03-01,Trincomalee,181.0,30.0,78.6
2023-04-01,Trincomalee,216.1,32.8,82.4
2023-05-01,Trincomalee,243.7,28.4,77.8
2023-06-01,Trincomalee,198.1,29.9,82.8
2023-07-01,Trincomalee,167.0,30.5,80.1
2023-08-01,Trincomalee,152.2,32.4,82.1
2023-09-01,Trincomalee,169.4,29.7,76.5
2023-10-01,Trincomalee,225.4,29.9,80.2
2023-11-01,Trincomalee,276.6,28.5,80.0
2023-12-01,Trincomalee,210.3,31.6,83.3
2023-01-01,Vavuniya,145.2,29.3,72.6
2023-02-01,Vavuniya,125.5,32.4,75.9
2023-03-01,Vavuniya,169.0,28.1,73.4
2023-04-01,Vavuniya,184.1,28.2,70.2
2023-05-01,Vavuniya,243.8,28.4,77.9
2023-06-01,Vavuniya,187.3,28.4,78.3
2023-07-01,Vavuniya,154.8,28.5,74.3
2023-08-01,Vavuniya,129.5,27.9,69.8
2023-09-01,Vavuniya,158.8,27.9,71.7
2023-10-01,Vavuniya,208.8,27.9,74.2
2023-11-01,Vavuniya,260.6,27.0,75.4
2023-12-01,Vavuniya,213.6,32.1,84.6
